,text
307,pen jd dokter tp kerjaanya nelaah rkuhp terus kuliahnya sasing 
308,"Pantes aja RKUHP PKS susah banget goalnya, gak aparat gak rakyat otaknya gak waras semua. https://twitter.com/urisbatari/status/1217233298251870211 …"
309,ini bukan nya eaktu demo tentang RKUHP ya?! wkwk
310,Waktu demo rkuhp juga gw dapet duid y g bep?? @dustintheweed @amygmy @JannKicks @TsaqiefIK @eehmiaa
311,Fahri RKUHP
312,Atiatul sempat disorot saat pembahasan RKUHP https://www.idntimes.com/news/indonesia/gregorius-pranandito/ims-2020-ketua-bem-ugm-atiatul-muqtadir-terinspirasi-orang-tua?utm_source=twitter&utm_medium=auto&utm_campaign=auto …
313,"Kalo RKUHP kemarin di sah kan bisa dibuktikan sis, krn sudah diatur oleh negara (saya lupa pasalnya tp bisa dicek ko). Sayang beberapa kelompok yg merasa terbebani hidupnya krn RKUHP dirasa boomerang buat dirinya trs smpe bikin gerakan tolak rkuhp deh"
314,"Ini rupanya rencana dari penyusunan atau pembentukan RKUHP.! Tempo lalu.. Uda ku guda..  Sekalian aja dapat remisi atau pengurangan masa tahanan..  + cuti atau liburan!!  Bangsat Lu anjir
Rakus jabatan sekaligus ragus harta ke kuasaan!!!"
315,"Kalo RKUHP tadinya sah, pasalnya gak diubah, @raynandika bisa dipidana. 

Padahal konten mantep. Edukesyen. 
Apa yang disuarain oleh mahasiswa kemaren gak sederhana ya.https://twitter.com/raynandika/status/1216779527889620992 …"
316,"Untuk para MAHASISWA/WI yg kmrn demo tolak RKUHP.
Buka MATAMU!
PERKOSAAN, PEDOFILIA, PELECEHAN ITU NYATA.
Dan kalian blg ""ITU URUSAN PRIBADI""?

WTF!!

Sy cuma berharap kalian akan menelan ludah sendiri saat alami hal itu.
TERUTAMA PARA CEWEK yg meremehkan!!

YOU ARE IDIOTS! https://twitter.com/Mytulip3/status/1216741362961248257 …"
317,"Pantesan yak dulu gak goal gagalin revisi UU KPK, promotornya gagal point semua. Setipe ama ketua BEM UI yg protes RKUHP karna pasal ""perempuan tdk blh keluar mlm hari"" pdhl pasalnya ga ada "
318,"Rakyat miskin ngeluh masalah RKUHP kaga digubris 

Giliran pengusaha langsung gercep. Sikntl emg.

Oiya lupa kan di negeri tetangga pengusaha biasanya jadi pejabat. pic.twitter.com/Stm3zYq2cB"
319,"Percuma. Aku waktu itu teriak2 soal ""perkosaan itu ada"", mereka teriak ""rkuhp gak msuk akal karena digituin enak"". Gak akan nyambung sama kadrun omongannya "
320,"RKUHP dan RUU Ketahanan Siber Dinilai Berpotensi Ancam Kebebasan Pers 
https://nasional.kompas.com/read/2020/01/13/19564061/rkuhp-dan-ruu-ketahanan-siber-dinilai-berpotensi-ancam-kebebasan-pers …"
321,Bakal dipenjara mba kl RKUHP disahkan :/ sama klo ngewenya ga consented..
322,Era..  Era dimana hancur..  Ini rupanya rencana dibuatnya atau perubahan RKUHP tempo lalu.. Jelas sudah kan..  Terimakasih buat pemimpin siaL termaksud kader tanduk yg korup!!! pic.twitter.com/1xR26wYkrd
323,Era..  Era dimana hancur..  Ini rupanya rencana dibuatnya atau perubahan RKUHP tempo lalu.. Jelas sudah kan..  Terimakasih buat pemimpin siaL termaksud kader tanduk yg korup!!! pic.twitter.com/1xR26wYkrd
324,Era..  Era dimana hancur..  Ini rupanya rencana dibuatnya atau perubahan RKUHP tempo lalu.. Jelas sudah kan..  Terimakasih buat pemimpin siaL termaksud kader tanduk yg korup!!! pic.twitter.com/1xR26wYkrd
325,"maaf, aqu udh ga bisa bandel lgi sekarang  krn pasal² kontroversial di dlm UUD RKUHP udeh d sahkan  
jgn ngajak aqu main y "
326,Prestasi : Ikut demo 24 sept biar rkuhp ditunda
327,Pasti pas UU RKUHP
328,"Debat 3 jam ama dosen dan temen2 sendiri masalah RKUHP

Sampe masalah personal dibawa2 wkwkw"
329,"Jokowi Melawan Korupsi.
1. Menolak remisi Koruptor dipermudah,
2. Menunda RKUHP rancangan DPR RI
3. Rp. 200 jt bagi pelapor tipikor. 
#KPKBaruTakPandangBulupic.twitter.com/NZaI0LVVZr"
330,"Ayoayo mana draftnyaaaa pengen baca nih, gamau keulang lagi kaya RKUHP. Jangan menggiring opini dg tidak menyertakan draftnya. Ajak juga masyarakat untuk berpikir kritis sesuai dengan dasarnya. Jgn modelan kaya gn lagi. Belajar dr yg lalu"
331,UU KPK Batal Berubah Menjadi RKUHP https://goo.gl/fb/dDm9Ho  #politik
332,"Draft asli dari finalisasi omnibus law aja blm ada, trus kmrn jumat kl gasalah ada pertemuan antara pekerja dan staf pembuat ruu utk mendengarkan aspirasi. 
Trus? Udh disimpulin kl ini membahayakan (di thread sblm ini) sumber dari mana toh?
#ReformasiDikorupsi RKUHP apa kabar? https://twitter.com/AksiLangsung/status/1216197635649851393 …"
333,"Jd inget yg dulu kritik RKUHP.

Campaign nya garang bgt.
Tp pas debat head to head sama yg bikin RUU ttg pasal2 kontroversial malah planga plongo ga ngerti apa2."
334,Boleh share draftnya bang? Takutnya kaya RKUHP kemaren. Interpretasi bodong nyesatin publik. Thank you
335,emang pernah dalam sejarah pemerintah kali nunjukkin draft ruu mas? rkuhp kemarin aja ngemis2 mintanya padahal hak kita sebagai warga negara. apalagi ini ruu ini. klo ini rancangan baik2 aja ya para buruh gak akan ributlah.
336,"Coba kita belajar dari rencana revisi UUK, revisi RKUHP, dan sejenisnya. UU yang libatin orang banyak, apa pernah libatin masyarakat? GAK. Apa pernah dipublikasi buat masyarakat? ENGGAK JUGA. Heran kenapa non-partisipasinya ini malah gak pernah dipermasalahin? https://twitter.com/respatitapser/status/1216075542652276736 …"
337,"Rancangan UU Cilaka ini bikin celaka semua pekerja, trus masih pada bilang ini hoax karna gak ada draftnya

gak belajar apa dari RKUHP lalu? emang sebagai warga negara ditunjukkin or dipublikasikan tuh rancangan? gak khan! yang ada kita 'ngemis' nyari draftnya. https://twitter.com/AksiLangsung/status/1215915243903209472 …"
338,RKUHP
339,"Untung ga ditanya ""oh kamu yang bikin thread rkuhp itu ya?"""
340,"UU KPK Batal Berubah Menjadi RKUHP, Ini Beberapa Padal Yang Membuat Mahasiswa Marah http://suarabojonegoro.com/read/2020/01/11/uu-kpk-batal-berubah-menjadi-rkuhp-ini-beberapa-padal-yang-membuat-mahasiswa-marah …"
341,"Wkwkwk emang pantek kampusnya, bilangnya uji coba. Gamau mahasiswanya kritis kali, kemaren demo rkuhp aja ga diizinin wkwm"
342,"Lutfi Alfiandi, yang viral membawa bendera merah putih ditengah aksi demo tolak RKUHP dan RUU."
343,Komnas HAM: Banyak Pelanggaran HAM Dalam Aksi Revisi UU KPK dan RKUHP https://www.radarkotanews.com/komnas-ham-banyak-pelanggaran-ham-dalam-aksi-revisi-uu-kpk-dan-rkuhp/ …
344,"Mau mewujudkan kesetaraan gender harus dibarengi dengan kebijakan yang tidak patriakis, contohlah RKUHP yg kemarin ada pasal tentang wanita gk boleh keluar malam. Patriakis gk cuma masalah wanita tapi pria pun dapat terkena juga."
345,Uu sisnas iptek. Tentu protesnya kalah bising sama RUU PKS dan RKUHP 
346,Komnas HAM Temukan Dugaan Pelanggaran HAM Saat Demo Tolak Revisi UU KPK dan RKUHP - Kakek Legend #KL #KLnewshttps://kakeklegend.web.id/news/liputan6/Komnas+HAM+Temukan+Dugaan+Pelanggaran+HAM+Saat+Demo+Tolak+Revisi+UU+KPK+dan+RKUHP …
347,Pas rame isu RKUHP sikap PSI seperti apa? Ada yang ingat? ;| https://twitter.com/TsamaraDKI/status/1215216335895941123 …
348,"Menurut Komnas HAM, banyak pelanggaran HAM terhadap aksi mahasiswa saat menolak RKUHP dan Revisi UU KPK. http://dlvr.it/RMjSGv "
349,"Siang tadi, Komnas HAM RI melakukan jumpa pers untuk menyiarkan Temuan Tim Peristiwa 24-30 September 2019 atas Penyampaian Aspirasi Mahasiswa dan Pelajar terhadap Revisi UU KPK dan RKUHP pic.twitter.com/l6c9Ng0AVO"
350,"Nda ada obat haha, apalagi aksi rkuhp kemarin"
351,binus malah melarang mahasiswanya utk mengeluarkan kebebasan dalam bependapat. haha look up: demo rkuhp kmrn
352,"Kalau Indonesia: 

Pidana denda aja #RKUHP
https://scoop.me/housing-first-finland-homelessness/?fbclid=IwAR2a17bu-QWCvlmCjzki8nur2BFyezu1cGLsZe5glW9ifdWU1R3rdyWK454 …"
353,"Geger Kasus Reynhard, AILA Desak DPR Sahkan RKUHP dengan Pasal Kesusilaan https://suaraislam.id/geger-kasus-reynhard-aila-desak-dpr-sahkan-rkuhp-dengan-pasal-kesusilaan/ …pic.twitter.com/AFGgjJ7VJK"
354,"Geger Kasus Reynhard, AILA Desak DPR Sahkan RKUHP dengan Pasal Kesusilaan https://suaraislam.id/geger-kasus-reynhard-aila-desak-dpr-sahkan-rkuhp-dengan-pasal-kesusilaan/ …pic.twitter.com/WRxXOZIi6t"
355,"Geger Kasus Reynhard, AILA Desak DPR Sahkan RKUHP dengan Pasal Kesusilaan https://suaraislam.id/geger-kasus-reynhard-aila-desak-dpr-sahkan-rkuhp-dengan-pasal-kesusilaan/ …pic.twitter.com/tRFI1Eq6T1"
356,Lah aku bahasin RKUHP
357,"Terkait Kasus Reynhard Sinaga, AILA Desak DPR Sahkan RKUHP https://edisi.co.id/terkait-kasus-reynhard-sinaga-aila-desak-dpr-sahkan-rkuhp/ …"
358,"Presiden @Jokowi, Jangan Setujui RKUHP di Sidang Paripurna @DPR_RI. #SemuaBisaKena - Tandatangani Petisi! http://chng.it/nWpfqVLM  lewat @ChangeOrg_ID"
359,"Gatau kenapa tapi isu yang jadi trigger LGBT scare gede selalu muncul dua tahun sekali, dan di awal tahun. Dua tahun lalu: pasal homofobik RKUHP. Empat tahun lalu: layanan konseling Melela."
360,"Nolak rkuhp bukan prestasi bro tapi kewajiban, kalo setuju mah ilangan tuh embel2 anak muda bawa perubahan. Nih partai ga lebih dari buzzer, nolak seadanya biar dibilang netral, padahal anak bayi juga tau nih partai anak muda manha ngumpet di ketek kekuasaan."
361,"Pantas Pasal ""Penghinaan Presiden"" yg pernah dibatalkan MK dimunculkan lg dlm RKUHP. (?). Paham kan maksude Bang Panca? "
362,"Dulu waktu RKUHP juga mengkritisi kok, mungkin anda yg kurang mengikuti?"
363,"someone really need to take legal action for this girl, seriously gue baca notes ini kaga ada pisann rasa nyesal dan permintaan maafnya cuman sekedar formalitas. Gih sana korbannya aduin/lapor ke polisi, mumpung rkuhp belum rampung. Seriously, ini orang udah sakit jiwa kayaknya https://twitter.com/jenny__jnny/status/1214008874170142721 …"
364,Merevisi RKUHP
365,Wafatnya Randi dan Yusuf telah menginjak 100 hari pada tanggal 5 Januari 2020 kemarin. Keduanya merupakan mahasiswa Universitas Halu Oleo (UHO) di Kendari yang berpartisipasi dalam demonstrasi menolak RKUHP dan revisi UU KPK pada 22 September.
366,"Zul,coba bahas lagi RKUHP ttg pemerintah ngasih kondom,,,,,udah bego ngotot lagi hhahahah lucu inget kedongoan lu Zul waktu debat soal itu"
367,rkuhp
368,Pleaseee it took y’all this long to cancel t*birfess???? I cancelled them long ago when they acted like an sjw and pretended they know everything about law when that rkuhp abortion thing https://twitter.com/lilaccountz/status/1213455962134069248 …
369,"aplg pas saat saat lg ribut soal rkuhp trs cewe cewe lagi pada latah gt sm bem km ugm (mas fathur) tp dia ternyata gasetuju sama ruu pks. tu akun langsung ngebahas sering bgt padahal tadinya dia juga latah, kesel bgt gue knp sih harus bgt sesuai kriteria tubi"
370,Gw tipe yang kalo udh ngewe dengan iming2 mau dinikahin/dipacarin dan ternyata ditinggal.. harusnya bs dipidanain wkwk. Makanya gw pro rkuhp waktu itu. Harus sama2 enak tp harus pikul tanggung jwbnya bareng
371,"Drama pemerintah,
KASUS, MAHASISWA PAPUA DI SURABAYA - LALU KASUS PAPUA - REVISI RKUHP - REVISI UUD KPK - LALU PEMINDAHAN IBU KOTA - TERUS PENYELUNDUPAN MOTOR HARLEY DAVIDSON - TERTANGKAP PELAKU PENYIRAMAN NOVEL TAPI TIDAK MIRIP - LALU JIWASRAYA - SEKARANG YANG BARU NATUNA."
372,Nanti penolakan RKUHP ga ada yang bela.
373,"Apa yg di demo mahasiswa RKUHP??
Wahai DPR ciptakan UU yg bagi pemimpin daerah yg tdk bisa mensejahterakan rakyatnya dijerat hukuman minimal 20 thn penjara..jgn UU kriminal dan maksiat aja yg dibuat.."
374,"*ngadepin demo rkuhp*
: maunya apasih?

*china klaim natuna*
: sudah jangan dibesar besarkan

...."
375,Pada ribut soal RKUHP. Emang kenapa sih?
376,"Gatau kenapa tapi isu yang jadi trigger LGBT scare gede selalu muncul dua tahun sekali, dan di awal tahun. Dua tahun lalu: pasal homofobik RKUHP. Empat tahun lalu: layanan konseling Melela."
377,"Nolak rkuhp bukan prestasi bro tapi kewajiban, kalo setuju mah ilangan tuh embel2 anak muda bawa perubahan. Nih partai ga lebih dari buzzer, nolak seadanya biar dibilang netral, padahal anak bayi juga tau nih partai anak muda manha ngumpet di ketek kekuasaan."
378,"Pantas Pasal ""Penghinaan Presiden"" yg pernah dibatalkan MK dimunculkan lg dlm RKUHP. (?). Paham kan maksude Bang Panca? "
379,"Dulu waktu RKUHP juga mengkritisi kok, mungkin anda yg kurang mengikuti?"
380,"someone really need to take legal action for this girl, seriously gue baca notes ini kaga ada pisann rasa nyesal dan permintaan maafnya cuman sekedar formalitas. Gih sana korbannya aduin/lapor ke polisi, mumpung rkuhp belum rampung. Seriously, ini orang udah sakit jiwa kayaknya https://twitter.com/jenny__jnny/status/1214008874170142721 …"
381,Merevisi RKUHP
382,Wafatnya Randi dan Yusuf telah menginjak 100 hari pada tanggal 5 Januari 2020 kemarin. Keduanya merupakan mahasiswa Universitas Halu Oleo (UHO) di Kendari yang berpartisipasi dalam demonstrasi menolak RKUHP dan revisi UU KPK pada 22 September.
383,"Zul,coba bahas lagi RKUHP ttg pemerintah ngasih kondom,,,,,udah bego ngotot lagi hhahahah lucu inget kedongoan lu Zul waktu debat soal itu"
384,rkuhp
385,Pleaseee it took y’all this long to cancel t*birfess???? I cancelled them long ago when they acted like an sjw and pretended they know everything about law when that rkuhp abortion thing https://twitter.com/lilaccountz/status/1213455962134069248 …
386,"aplg pas saat saat lg ribut soal rkuhp trs cewe cewe lagi pada latah gt sm bem km ugm (mas fathur) tp dia ternyata gasetuju sama ruu pks. tu akun langsung ngebahas sering bgt padahal tadinya dia juga latah, kesel bgt gue knp sih harus bgt sesuai kriteria tubi"
387,Gw tipe yang kalo udh ngewe dengan iming2 mau dinikahin/dipacarin dan ternyata ditinggal.. harusnya bs dipidanain wkwk. Makanya gw pro rkuhp waktu itu. Harus sama2 enak tp harus pikul tanggung jwbnya bareng
388,"Drama pemerintah,
KASUS, MAHASISWA PAPUA DI SURABAYA - LALU KASUS PAPUA - REVISI RKUHP - REVISI UUD KPK - LALU PEMINDAHAN IBU KOTA - TERUS PENYELUNDUPAN MOTOR HARLEY DAVIDSON - TERTANGKAP PELAKU PENYIRAMAN NOVEL TAPI TIDAK MIRIP - LALU JIWASRAYA - SEKARANG YANG BARU NATUNA."
389,Nanti penolakan RKUHP ga ada yang bela.
390,"Apa yg di demo mahasiswa RKUHP??
Wahai DPR ciptakan UU yg bagi pemimpin daerah yg tdk bisa mensejahterakan rakyatnya dijerat hukuman minimal 20 thn penjara..jgn UU kriminal dan maksiat aja yg dibuat.."
391,"*ngadepin demo rkuhp*
: maunya apasih?

*china klaim natuna*
: sudah jangan dibesar besarkan

...."
392,Pada ribut soal RKUHP. Emang kenapa sih?
393,Sementara itu di #RKUHP Gelandangan masih dapet pasal pidana dengan hukuman denda  https://twitter.com/JRaphling/status/1211477960668041216 …
394,"Gimana kasus pembakaran hutan di Sumatera udah selesai? Kasus penembakan mahasiswa udah selesai?
Kasus RKUHP udah dibahas.
Diem diem baek 
#Jokowi"
395,Bukannya kau lelaki malam dalam RKUHP?
396,Pada ribut soal RKUHP. Emang kenapa sih?
397,"Waw.  Coba aja kemrin rkuhp beneran disahkan. Setidaknya 2022 udah berlaku dan penjatuhan pidana mati ngga langsung eksekusi mati tpi dengan syart tertentu dahulu. Rkuhp yg sbenarnya udh dekolonialisasi dan substansi banyak yg bagus meskipun ga sempurna, malah main asal tolak aja https://twitter.com/tempodotco/status/1213076294294016002 …"
398,"Suaraku udah diwakili sama temen2 mahasiswaku pas demo kmrin yg menuntut tentang perubahan RKUHP, disitu ada tntg isu birokrasi dan bpjs, walaupun DPR dan pemerintahnya sibuk bacot sendiri "
399,Waktu ikut demo RKUHP :V
400,"Untuk menyegarkan kembali ingatan soal apa saja pasal-yang diperdebatkan dalam RKUHP, kami sajikan wawancara di #RuangPublikKBR, bersama perwakilan @YLBHI @lbhpersjakarta @ICJRid

Bisa Anda dengarkan di #KBPrime http://bit.ly/2rQBjOA 
#PodcastIndonesia #RKHUPpic.twitter.com/pRGy5JQ8Ds"
401,"Oiya, kemaren yang pada demo tolak RKUHP gimana kelanjutannya sih, kok kaya tenggelam engga ada kabar, maaf kurang info"
402,"Sesaat lagi di #RuangPublikKBR Kilas Balik #reformasidikorupsi; Isu Keamanan Siber dan Digitalisasi TV, apa yang harus dikoreksi dan dimasukkan ke RKUHP? 

Bersama: @elsamnews dan Koalisi Nasional Reformasi Penyiaraan.

Di Jakarta @powerfm892, streaming http://KBR.id .pic.twitter.com/IvPpYQVwvc"
403,"mendengar namanya sudah tak seceria yang dulu, bahkan seperti mendengar kabar RKUHP di resmikan. sama sama memancing emosi"
404,"Kalo RKUHP tadinya sah, pasalnya gak diubah, bang @pergijauh bisa dipidana

Kalau pakai RKUHP skrang, kalau ada anak2 yg follow dia dan dia tau. Bisa dipidana juga

#RKUHP https://twitter.com/pergijauh/status/1212684180292718592 …"
405,W beneran mau praduga tak bersalah sama cinca kiehl's tapi beneran baru tau memenya berasal dari tweet dia sendiri pas demo rkuhp lel
406,"mas pikir kalok gak dinyinyirin pemerintah tau kerjaannya apa? wakil rakyat tau kerjaannya apa? kalok gak dinyinyirin netizen seindonesia rkuhp gak akan dikaji ulang 
fyi anggaran dana untuk menanggulangin banjir dipotong pemprov jakarta "
407,"Untuk menyegarkan kembali ingatan soal apa saja pasal-yang diperdebatkan dalam RKUHP, kami obrolin di #RuangPublikKBR bersama perwakilan kelompok masyarakat sipil @YLBHI @LBHPersJakarta @ICJRid http://bit.ly/2rQBjOA 
#KBRPrime #podcastindonesia #RKHUPpic.twitter.com/4rZcBOXFIS"
408,"Apa kabar pasal-pasal bermasalah di RKUHP? Apa yang bisa kita lakukan sebagai public? http://m.kbrprime.id/parbada 

Di episode #Parbada #ReformasiDikorupsi kami mengupasnya bersama @YLBHI @elsamnews @ICJRid @lbhpersjakarta @knrpid @remotivi
#KBRPrime #PodcastIndonesia #RKUHP pic.twitter.com/tlrCZQAia8"
409,"SESAAT LAGI!

Untuk menyegarkan kembali ingatan soal apa saja pasal-yang diperdebatkan dalam RKUHP, kami sajikan wawancara dengan perwakilan kelompok masyarakat sipil terkait hal tersebut di #RuangPublikKBR, bersama @YLBHI @LBHPersJakarta @ICJRid.

Di Jakarta via @powerfm892pic.twitter.com/qhoLvQVpCU"
410,"Ahmad Dhani Bebas, Fahri Hamzah Minta RKUHP Segera Disahkan - https://www.kedaipena.com/ahmad-dhani-bebas-fahri-hamzah-minta-rkuhp-segera-disahkan/ …"
411,"Berdasarkan pasal 264 draf RKUHP hasil rapat antara pemerintah dan DPR per 10 Januari 2018, seseorang yang menyebarluaskan penghinaan terhadap presiden atau wakil presiden dengan sarana teknologi informasi dapat dipidana penjara paling lama lima tahun."
412,"RKUHP masuk prolegnas 2020. Pasti disahkan. Bakal muncul narasi tai kucing ""Apakah mau pake produk Belanda? Tidak bangga dengan produk ahli hukum Endonesa?""

Ya jelas lebih percaya produk Belanda. Rel & gorong gorong bikinan Belanda saja awet xixixi"
413,New York at 1873 = Indonesia 2019 in RKUHP.  pic.twitter.com/bGOn73tVuY
414,"Jos
Presiden @Jokowi, Jangan Setujui RKUHP di Sidang Paripurna @DPR_RI. #SemuaBisaKena - Tandatangani Petisi! http://chng.it/2kyX84WX  lewat @ChangeOrg_ID"
415,"kaleidoskop twitter 2019 :

Jan : tubir pemilu
Feb : tubir pemilu
Mar : tubir pemilu
Apr : tubir pemilu
Mei : tubir hasil pemilu
Jun : KKN desa Penari
Jul :  tubir gaji 8 juta
Agt : tubir pindah ibu kota
Sep : tubir RKUHP
Okt : tubir menteri
Nov : tubir DUI
Des : tubir Natal"
416,"Aneh saja kalau kerugian yang lebih besar dari Century tidak dibuat pansus DPR, sementara saat Century PDIP paling vokal adakan pansus. Jadi kalau sampai tidak ada pansus DPR, artinya tekanan dari penguasa demikian hebat, sementara RKUHP dan Omnibus law dikebut !!!"
417,Inget rkuhp yang mau kriminalisasi orang yang nggan state certified kasih edukasi soal kontrasepsi atau kasih kontrasepsi atau nunjukin kontrasepsi astaga  trus state certificationnya cuma sudi ngasih ke orang2 turunan a1l4 dong yha gutbai
418,"Agar RKUHP Tak Bikin Gaduh, DPR Diminta Jemput Aspirasi Universitas - https://indolinear.com/agar-rkuhp-tak-bikin-gaduh-dpr-diminta-jemput-aspirasi-universitas.html …pic.twitter.com/m69YX5qR4P"
419,"UU ITE Telan Banyak Korban, Fahri Hamzah Minta RKUHP Segera Disahkan https://sketsanews.com/uu-ite-telan-banyak-korban-fahri-hamzah-minta-rkuhp-segera-disahkan/ …pic.twitter.com/QQ7IkmGcEP"
420,"makanya cepet"" lah ntu rkuhp disahkan, biar pasal santet bisa diterapkan"
421,"kabar gebira rkuhp versi september yang paling baru gue temuin subjeknya ""semua orang"", udah gak ""laki-laki"" "
422,"""Saya hanya menyarankan agar RKUHP segera disahkan agar semua UU pasal karet seperti UU ITE segera dihentikan. Terlalu banyak korban,” ujar Fahri kepada wartawan
 https://www.idtoday.co/2019/12/fahri-hamzah-uu-ite-pasal-karet-yang.html … lewat @idtodaydotco"
423,"UU ITE Telan Banyak Korban, Fahri Hamzah Minta RKUHP Segera Disahkan - http://rmolbanten.com http://www.rmolbanten.com/read/2019/12/30/14060/UU-ITE-Telan-Banyak-Korban,-Fahri-Hamzah-Minta-RKUHP-Segera-Disahkan-#.XgohxyLT5RY.twitter …"
424,"Pasal penghinaan agama dalam RKUHP terdapat dalam Bab VII ""Tindak Pidana terhadap Agama dan Kehidupan Beragama"". Bab ini terdiri dari 8 pasal (pasal 341 -- 348). Dari 8 pasal tersebut setidaknya ada 3 pasal yang sedikit bermasalah dalam penerapannya. https://twitter.com/cecempit/status/1211482363969994752 …"
425,"gara"" kalian make tolak rkuhp segala, karena kuhp belanda terlalu positivis"
426,"Ini tuh jenis perbuatan/tindak pidananya beda gaes, jadi emang gak bisa disamaratakan.

Kasus kiri itu termasuk dalam pelanggaran dalam hal kehormatan negara, ada uu yang mengaturnya & dalam tahap dimasukkan ke rkuhp yang baru.

Baca ini pic.twitter.com/yCM1aKAqmc"
427,Fahri Hamzah menyinggung tentang pengesahan RKUHP untuk mengomentari bebasnya musikus Ahmad Dhani. #AhmadDhanibebashttp://m.jpnn.com/news/begini-komentar-fahri-hamzah-setelah-ahmad-dhani-bebas …
428,Pada ribut soal RKUHP. Emang kenapa sih?
429,Pada ribut soal RKUHP. Emang kenapa sih?
430,"RKUHP dihentikan, namun 'fase penghancuran KPK' telah berlangsung. Trm kasih sdh memimpin & menjadi bagian dari barisan yg melawan dgn sehormat2nya @anandabadudu @efekrumahkaca @IKSANSKUTER #ReformasiDikorupsipic.twitter.com/hw39kl2EYS"
431,Pakar2 bicara RKUHP di ILC dg mental Retorika Negasi dlm narasi idealitas filosofi naif ttg hak & tgjwb dlm bernegara yg populis.
432,"Sekarang RKUHP bahasnya gembel, gembel jaman now kondang, aku kalah. Sial"
433,Ulangan Kontroversi RKUHP ya?
434,ih ada siaran ulang ILC yang rkuhp
435,nntn ulang ilc tentang rkuhp ttp kzl liat ibu ibu bju hijau heyy
436,"Saksikanlah tayangan ulang Indonesia Lawyers Club dengan tema ""Kontroversi RKUHP: Dari kumpul kebo sampai penghinaan Presiden"".
Minggu, 29 Desember 2019 jam 19.30 WIB hanya di tvOne & streaming tvOne connect.
#ILCKontroversiKUHPpic.twitter.com/vWwhL7Xq7f"
437,"Pasal 481 draf RKUHP hasil rapat antara pemerintah dan DPR per 10 Januari 2018 menyatakan bahwa setiap orang yg tanpa hak dan tp diminta scr terang2 mempertunjukkan suatu alat utk mencegah kehamilan menawarkan, menyiarkan tulisan atau menunjukkan dipidana sesuai pidana kategori I pic.twitter.com/Oyv6H1FTrT"
438,"Saksikanlah tayangan ulang Indonesia Lawyers Club dengan tema ""Kontroversi RKUHP: Dari kumpul kebo sampai penghinaan Presiden"".
Minggu, 29 Desember 2019 jam 19.30 WIB hanya di tvOne & streaming tvOne connect.
#ILCKontroversiKUHPpic.twitter.com/vRAGzBqnhO"
439,Wah biisa kena Rkuhp 
440,Apakabar ini RKUHP? Apakah yg di tuntutnya lupa? Trus yg menuntutnya tidur? :P
441,"sebagaimana yang dahulunya menolak RKUHP dan sampai saat ini urusan apapun akan tetap menggangu mereka. 

selalu banyak yang jatuh kebawah maka semakin banyak kelemahan di atas, karna pondasinya adalah senioritas  mahasiswa."
442,Jokowi Minta Pengesahan RKUHP Ditunda http://dlvr.it/RM4wWB pic.twitter.com/Bgk6FfkLUo
443,"suara dari prov:maluku utara,kab:halsel,kec:bacan.

intinya RKUHP yang mau di sahkan sangat bertantangan.
CONTOHNYA pasal 219 itu kan sangat bertantangan dengan UUD pasal 28 ayat 3.
kalo pndapat saya sih bgitu,mau jelaskan cumn terlalu banyak kesalahan nya.
#janganbatasipendapat"
444,Tolong suaranya partai yang selalu ingin kawal uang rakyat @psi_id @Uki23 @TsamaraDKI @grace_nat upss sorry klo @grace_nat masih fokus tolak RKUHP kayaknya.. https://twitter.com/sandalista1789/status/1192853678396297216 …
445,"kalo rkuhp kemarin jadi disah'kan aku dah kena denda sejiti ini, jam segini masih keluyuran "
446,wih bahas2 rkuhp nih 
447,"@KompasTV prof bahas donk masalah RKUHP yg pasalnya kemarin sempat rame,soalnya banyak masyarakat yg belum paham #melekHukumKompasTV"
448,"UU ttg zinah emang udah ada ya? Kalopun ada kayaknya cuma di level Perda (?) Soalnya pasal RKUHP yg ngatur itu pada ditolak kan wkwkwk...

Bukannya pasal pornografi itu delik umum ya? Bukan delik aduan."
449,Awas jap kena pidana RKUHP Bab XV pasal 419
450,Saatnya Memperdebatkan RKUHP dengan Adil - http://geotimes.co.id/?p=555298 
451,Bahas perbaikan RKUHP yak???
452,"Sebenarnya mau apa itu tujuan bapak @jokowi?

1. RKUHP ingin kembali dibahas & disahkan

2. Pilkada tidak langsung kembali diwacanakan

3. Wacana wisata halal di Toba & Bali kembali dihidupkan"
453,"Jika aku mengaku sakti, aku kan kena rkuhp"
454,"Partai seputaran Jakarta, sampai DPP pusatnya pun nyerang Anies,. Giliran di tanya kenapa enggak ngeritik kenaikan BPJS, alasannya PSI enggak punya perwakilan di DPR pusat, lah jadi kemarin2 kenapa kritik RKUHP kalo enggak punya perwakilan di DPR,."
455,"Iya gan, apalagi itu situsnya beragam dari eropa sampe tetangga sebelah, macem-macem juga genrenya, mungkin ini yang dimaksud sex education oleh pendidik ahli dalam rkuhp"
456,Saatnya Memperdebatkan RKUHP dengan Adil - http://geotimes.co.id/?p=555298 
457,RKUHP: Dari Rasa Kolonial Kembali ke Zaman Batu - http://geotimes.co.id/?p=551721 
458,Mumpung belom ada rkuhp curhat di twitter!
459,"Semoga bro  ..
Tp di RKUHP yg akan disahkan bbrp hr lg  , kbrnya ada pasal  , yg menolak lahan nya utk proyek pemerintah , bisa dipidana 
Kurang lbh nya begitu lah 
"
